site	qk	fk
3	0.104	0.439
4	0.083	0.483
5	0.042	0.533
6	0.021	0.194
7	0.021	0.161
9	0.167	0.834
12	0.063	0.61
13	0.063	0.738
15	0.146	0.853
16	0.021	0.29
18	0.063	0.421
20	0.063	0.486
21	0.063	0.82
22	0.021	0.275
23	0.021	0.451
24	0.021	0.522
25	0.083	0.591
26	0.083	0.863
27	0.021	0.151
28	0.042	0.248
30	0.083	0.509
31	0.042	0.293
32	0.021	0.209
33	0.042	0.719
35	0.042	0.75
36	0.083	0.599
39	0.104	0.659
40	0.063	0.426
41	0.063	0.831
42	0.063	0.353
43	0.063	0.663
44	0.083	0.894
46	0.042	0.381
47	0.042	0.349
48	0.042	0.378
49	0.042	0.74
50	0.063	0.895
51	0.042	0.966
52	0.125	0.92
53	0.063	0.349
54	0.063	0.979
55	0.063	0.94
56	0.042	0.653
57	0.146	0.908
58	0.146	0.836
59	0.042	0.375
61	0.021	0.344
62	0.104	0.746
63	0.083	0.717
64	0.021	0.013
66	0.083	0.734
68	0.042	0.613
70	0.167	0.655
71	0.125	0.819
72	0.042	0.293
75	0.021	0.293
77	0.083	0.271
78	0.042	0.433
79	0.063	0.37
82	0.104	0.969
85	0.042	0.697
86	0.104	0.784
87	0.063	0.684
88	0.042	0.472
89	0.021	0.011
90	0.063	0.726
92	0.042	0.428
93	0.104	0.988
94	0.083	0.89
95	0.083	0.435
96	0.021	0.165
97	0.146	0.756
98	0.083	0.939
99	0.021	0.705
100	0.021	0.153
102	0.083	0.802
103	0.042	0.171
105	0.063	0.481
106	0.104	0.872
107	0.042	0.558
108	0.021	0.769
109	0.104	0.871
110	0.063	0.73
111	0.063	0.683
112	0.125	0.755
113	0.083	0.672
114	0.146	0.627
115	0.104	0.355
116	0.021	0.634
117	0.021	0.53
118	0.083	0.625
119	0.021	0.105
120	0.125	0.855
121	0.063	0.333
122	0.021	0.195
123	0.042	0.818
124	0.021	0.229
127	0.021	0.106
128	0.021	0.118
129	0.125	0.864
130	0.021	0.279
131	0.021	0.174
132	0.063	0.371
133	0.021	0.423
134	0.063	0.209
135	0.021	0.646
136	0.021	0.019
137	0.125	0.656
139	0.042	0.302
140	0.042	0.241
141	0.104	0.707
143	0.104	0.374
144	0.083	0.633
145	0.042	0.379
146	0.146	0.767
147	0.125	0.909
148	0.063	0.7
149	0.021	0.235
150	0.063	0.391
151	0.125	0.948
152	0.063	0.349
153	0.021	0.202
154	0.063	0.544
155	0.063	0.427
156	0.042	0.616
157	0.021	0.584
158	0.042	0.767
159	0.063	0.468
160	0.063	0.264
161	0.083	0.116
162	0.104	0.651
163	0.083	0.286
164	0.042	0.414
165	0.083	0.487
166	0.063	0.422
167	0.125	0.714
169	0.063	0.458
170	0.083	0.797
171	0.021	0.432
172	0.063	0.722
173	0.083	0.901
175	0.125	0.71
176	0.146	0.534
177	0.063	0.328
178	0.021	0.316
180	0.063	0.677
181	0.021	0.1
182	0.125	0.709
183	0.021	0.091
184	0.063	0.728
185	0.063	0.839
186	0.125	0.753
187	0.063	0.29
188	0.083	0.418
189	0.104	0.567
190	0.083	0.976
191	0.021	0.137
192	0.104	0.566
193	0.104	0.768
195	0.042	0.516
197	0.146	0.858
198	0.063	0.527
199	0.083	0.209
200	0.042	0.524
201	0.021	0.542
202	0.083	0.533
203	0.125	0.981
204	0.021	0.975
205	0.083	0.591
